FID,GEOID,FIPS,NAME,15TOTAL,OV65_Total15,20TOTAL,OVER65_20,25TOTAL,OVER65_25
0,0600000US0900104720,900104720,Bethel town,18630,2845,18503,3451,18267,4145
1,0600000US0900108070,900108070,Bridgeport town,147710,16090,150764,18124,152857,21324
2,0600000US0900108980,900108980,Brookfield town,16635,2720,16705,3176,16741,3780
3,0600000US0900118500,900118500,Danbury town,84146,10170,87490,11809,90591,13650
4,0600000US0900118850,900118850,Darien town,20732,2396,20730,2561,20701,3025
5,0600000US0900123890,900123890,Easton town,7411,1286,7359,1485,7298,1804
6,0600000US0900126620,900126620,Fairfield town,59254,9376,59024,10096,58915,11353
7,0600000US0900133620,900133620,Greenwich town,60471,10587,59372,11375,58274,12706
8,0600000US0900148620,900148620,Monroe town,19300,3016,18960,3407,18599,4006
9,0600000US0900150580,900150580,New Canaan town,19695,2991,19659,3278,19524,3957
10,0600000US0900150860,900150860,New Fairfield town,13620,1984,13272,2372,12912,2938
11,0600000US0900152980,900152980,Newtown town,28105,4312,28427,5297,28721,6505
12,0600000US0900156060,900156060,Norwalk town,87329,12323,88797,13824,89591,15745
13,0600000US0900163480,900163480,Redding town,9196,1814,9233,2089,9223,2502
14,0600000US0900163970,900163970,Ridgefield town,24621,3860,24580,4367,24345,5183
15,0600000US0900168170,900168170,Shelton town,39981,8090,40094,9175,39985,10661
16,0600000US0900168310,900168310,Sherman town,3431,679,3277,802,3086,935
17,0600000US0900173070,900173070,Stamford town,126810,17642,130830,19426,133821,21917
18,0600000US0900174190,900174190,Stratford town,52338,9782,53126,10706,53841,11999
19,0600000US0900177200,900177200,Trumbull town,36207,7001,36190,7598,36215,8713
20,0600000US0900183430,900183430,Weston town,10173,1277,10186,1546,10154,1935
21,0600000US0900183500,900183500,Westport town,26271,4529,26213,4941,26075,5722
22,0600000US0900186370,900186370,Wilton town,17914,2693,17826,3014,17615,3468
23,0600000US0901106820,901106820,Bozrah town,2772,474,2899,575,3019,716
24,0600000US0901115910,901115910,Colchester town,16543,2257,16925,2875,17242,3865
25,0600000US0901123400,901123400,East Lyme town,19162,3929,18993,4488,18714,5022
26,0600000US0901129910,901129910,Franklin town,1964,351,1986,428,2001,514
27,0600000US0901133900,901133900,Griswold town,12584,1611,13155,2054,13663,2634
28,0600000US0901134250,901134250,Groton town,39179,6119,38172,7047,36702,8038
29,0600000US0901142390,901142390,Lebanon town,7476,1094,7592,1395,7684,1746
30,0600000US0901142600,901142600,Ledyard town,15016,2361,14790,2830,14437,3270
31,0600000US0901143230,901143230,Lisbon town,4435,759,4504,908,4571,1118
32,0600000US0901144210,901144210,Lyme town,2556,730,2682,911,2780,1021
33,0600000US0901148900,901148900,Montville town,21824,3589,23902,4588,25850,5734
34,0600000US0901152350,901152350,New London town,25729,2959,23831,3305,21833,3660
35,0600000US0901155500,901155500,North Stonington town,5328,1028,5270,1349,5143,1634
36,0600000US0901156270,901156270,Norwich town,42810,6253,45132,7528,47289,9081
37,0600000US0901157040,901157040,Old Lyme town,7576,1978,7473,2312,7308,2610
38,0600000US0901162150,901162150,Preston town,4739,945,4699,1130,4629,1344
39,0600000US0901166210,901166210,Salem town,4244,570,4295,767,4315,1035
40,0600000US0901171670,901171670,Sprague town,3016,364,3031,451,3024,569
41,0600000US0901173770,901173770,Stonington town,18680,4462,18628,5097,18484,5790
42,0600000US0901178600,901178600,Voluntown town,2590,379,2543,520,2474,675
43,0600000US0901180280,901180280,Waterford town,19543,4321,19394,4814,19203,5516
44,0600000US0901501430,901501430,Ashford town,4413,612,4483,833,4521,1050
45,0600000US0901509190,901509190,Brooklyn town,8671,1368,9079,1637,9474,1990
46,0600000US0901512130,901512130,Canterbury town,5332,853,5483,1142,5607,1435
47,0600000US0901513810,901513810,Chaplin town,2293,375,2262,471,2202,581
48,0600000US0901521860,901521860,Eastford town,1822,340,1871,428,1903,527
49,0600000US0901536000,901536000,Hampton town,1889,368,1894,469,1878,595
50,0600000US0901540500,901540500,Killingly town,17738,2810,17974,3363,18080,3956
51,0600000US0901559980,901559980,Plainfield town,15759,2275,15992,2707,16130,3245
52,0600000US0901561030,901561030,Pomfret town,4473,629,4678,813,4876,1026
53,0600000US0901562710,901562710,Putnam town,9935,1651,10245,1925,10478,2282
54,0600000US0901301080,901301080,Andover town,3354,456,3382,627,3398,856
55,0600000US0901306260,901306260,Bolton town,4953,871,4882,1057,4794,1295
