Department,hit_nc,search_nc,hr_nc,pvalue,hit_c,search_c,hr_c
Ansonia,7,30,0.23,0.9325,7,52,0.13
Avon,0,0,,,7,7,1.00
Berlin,24,119,0.20,0.5708,36,189,0.19
Bethel,6,12,0.50,0.0790,15,23,0.65
Bloomfield,34,102,0.33,0.4250,6,13,0.46
Branford,6,33,0.18,0.1722,26,203,0.13
Bridgeport,33,455,0.07,0.0539,11,68,0.16
Bristol,25,76,0.33,0.2080,14,45,0.31
Brookfield,3,4,0.75,,11,16,0.69
CAPITOL POLICE,1,6,0.17,,0,1,0.00
CCSU,0,1,0.00,,1,3,0.33
Canton,2,8,0.25,0.2367,14,52,0.27
Cheshire,2,23,0.09,0.0638,37,61,0.61
Clinton,10,19,0.53,0.9527,69,126,0.55
Coventry,1,2,0.50,0.1336,8,13,0.62
Cromwell,4,6,0.67,0.3496,16,19,0.84
DMV,2,5,0.40,,1,1,1.00
Danbury,9,167,0.05,0.8646,15,196,0.08
Darien,28,61,0.46,0.4042,22,53,0.42
Derby,2,132,0.02,0.2935,9,173,0.05
ECSU,1,,,,6,0,
East Hampton,2,3,0.67,1.0000,18,29,0.62
East Hartford,99,199,0.50,0.7085,41,55,0.75
East Haven,4,26,0.15,,2,29,0.07
East Windsor,2,11,0.18,,10,20,0.50
Easton,,2,0.00,,0,3,0.00
Enfield,11,53,0.21,0.6781,47,146,0.32
Fairfield,21,46,0.46,0.9359,32,55,0.58
Farmington,6,25,0.24,0.5371,34,82,0.41
Glastonbury,33,111,0.30,0.7971,81,261,0.31
Granby,4,7,0.57,,30,30,1.00
Greenwich,16,113,0.14,0.6139,7,34,0.21
Groton City,15,39,0.38,0.5189,20,32,0.63
Groton Long Point,,,,,0,0,
Groton Town,22,41,0.54,0.1977,41,69,0.59
Guilford,2,4,0.50,,10,20,0.50
Hamden,11,85,0.13,0.0677,5,25,0.20
Hartford,36,99,0.36,0.3723,11,28,0.39
Ledyard,,,,,0,0,
MET DIST WATER AUTHORITY,1,1,1.00,,0,0,
MTA Stamford,,,,,0,0,
Madison,2,7,0.29,0.7823,8,18,0.44
Manchester,51,77,0.66,0.8964,34,59,0.58
Meriden,48,131,0.37,0.0148,19,65,0.29
Middlebury,,1,0.00,,0,0,
Middletown,35,113,0.31,0.0190,78,188,0.41
Milford,47,186,0.25,0.1867,95,236,0.40
Monroe,11,24,0.46,0.1056,15,37,0.41
Naugatuck,30,93,0.32,0.1258,68,192,0.35
New Britain,103,196,0.53,0.2361,35,52,0.67
New Canaan,8,11,0.73,0.6834,20,35,0.57
New Haven,474,714,0.66,0.0187,209,122,1.71
New London,22,55,0.40,,30,75,0.40
New Milford,6,13,0.46,0.3422,40,71,0.56
Newington,35,146,0.24,0.7106,32,100,0.32
Newtown,7,25,0.28,,34,70,0.49
North Branford,3,8,0.38,0.8091,2,5,0.40
North Haven,10,76,0.13,0.1064,30,107,0.28
Norwalk,110,495,0.22,0.2448,29,139,0.21
Norwich,50,208,0.24,0.1303,72,218,0.33
Old Saybrook,5,16,0.31,0.2429,34,70,0.49
Orange,7,25,0.28,0.5686,17,39,0.44
Plainfield,2,3,0.67,0.6963,8,18,0.44
Plainville,35,79,0.44,0.1258,106,214,0.50
Plymouth,4,22,0.18,0.4983,18,72,0.25
Portland,2,1,2.00,,1,1,1.00
Putnam,0,0,,,3,6,0.50
Redding,1,18,0.06,,1,23,0.04
Ridgefield,0,3,0.00,,10,24,0.42
Rocky Hill,12,25,0.48,0.5050,27,48,0.56
SCSU,4,14,0.29,0.9126,2,4,0.50
Seymour,1,25,0.04,0.4533,3,48,0.06
Shelton,0,4,0.00,,3,16,0.19
Simsbury,2,7,0.29,,9,18,0.50
South Windsor,24,53,0.45,0.5050,49,87,0.56
Southington,5,6,0.83,0.6307,39,18,2.17
Stonington,2,3,0.67,,1,5,0.20
Stratford,26,105,0.25,0.6559,16,68,0.24
Suffield,1,2,0.50,,1,5,0.20
Thomaston,0,0,,,3,10,0.30
Torrington,16,51,0.31,0.8387,60,118,0.51
Trumbull,21,45,0.47,0.5706,25,59,0.42
UCONN,1,8,0.13,0.0833,8,16,0.50
Vernon,22,68,0.32,0.3821,81,146,0.55
WCSU,,1,0.00,,0,0,
Wallingford,61,130,0.47,0.1939,162,240,0.68
Waterbury,47,360,0.13,0.0005,42,141,0.30
Waterford,26,42,0.62,0.5510,49,92,0.53
Watertown,1,22,0.05,0.4386,4,35,0.11
West Hartford,76,183,0.42,0.0023,314,492,0.64
West Haven,10,94,0.11,0.1102,7,41,0.17
Weston,,0,,,0,1,0.00
Westport,28,90,0.31,0.4463,52,130,0.40
Wethersfield,77,200,0.39,0.6914,59,146,0.40
Willimantic,49,150,0.33,0.7898,23,62,0.37
Wilton,7,88,0.08,0.1213,14,193,0.07
Windsor,21,48,0.44,0.3613,3,11,0.27
Windsor Locks,8,37,0.22,0.0146,4,53,0.08
Winsted,5,4,1.25,,31,6,5.17
Wolcott,,22,0.00,,0,21,0.00
Woodbridge,3,8,0.38,0.6592,3,9,0.33
Yale,21,61,0.34,0.4820,8,18,0.44
State Police,461,1686,0.27,0.0000,672,1793,0.37
State Police- All Other,14,57,0.25,0.7896,12,42,0.29
State Police- Troop A,99,318,0.31,0.0207,87,217,0.40
State Police- Troop B,6,24,0.25,0.2856,17,59,0.29
State Police- Troop C,27,144,0.19,0.0006,81,193,0.42
State Police- Troop D,32,75,0.43,0.3314,68,163,0.42
State Police- Troop E,30,121,0.25,0.0597,53,200,0.27
State Police- Troop F,21,88,0.24,0.0235,52,115,0.45
State Police- Troop G,76,259,0.29,0.6885,71,169,0.42
State Police- Troop H,77,287,0.27,0.3136,42,128,0.33
State Police- Troop I,31,122,0.25,0.0011,42,111,0.38
State Police- Troop K,31,112,0.28,0.7046,62,186,0.33
State Police- Troop L,17,79,0.22,0.1708,85,210,0.40
State Police- Troop W,,,,,,,
